"","ID","area.de.conhecimento","cidadania"
"1","Obs1","Ciências Exatas e da Terra",1.66666666666667
"2","Obs2","Ciências Sociais Aplicadas",3.33333333333333
"3","Obs3","Ciências Humanas",2
"4","Obs4","Ciências Sociais Aplicadas",2.83333333333333
"5","Obs5","Linguística/Letras e Artes",2.33333333333333
"6","Obs6","Ciências Biológicas",2.16666666666667
"7","Obs9","Engenharias",2.33333333333333
"8","Obs10","Ciências Sociais Aplicadas",1.66666666666667
"9","Obs11","Ciências Sociais Aplicadas",2.66666666666667
"10","Obs12","Ciências Sociais Aplicadas",2.16666666666667
"11","Obs13","Ciências Sociais Aplicadas",3.5
"12","Obs14","Ciências Sociais Aplicadas",3.16666666666667
"13","Obs15","Ciências Sociais Aplicadas",1.83333333333333
"14","Obs16","Ciências Sociais Aplicadas",2.83333333333333
"15","Obs17","Ciências Humanas",4.16666666666667
"16","Obs18","Linguística/Letras e Artes",1.5
"17","Obs19","Ciências Exatas e da Terra",2.5
"18","Obs20","Ciências Humanas",4.33333333333333
"19","Obs21","Ciências Exatas e da Terra",2.33333333333333
"20","Obs22","Ciências Exatas e da Terra",1.33333333333333
"21","Obs23","Ciências Exatas e da Terra",2.16666666666667
"22","Obs24","Ciências Agrárias",1.66666666666667
"23","Obs25","Ciências Humanas",1.33333333333333
"24","Obs26","Ciências Sociais Aplicadas",3.33333333333333
"25","Obs27","Ciências Sociais Aplicadas",2.16666666666667
"26","Obs28","Linguística/Letras e Artes",4.83333333333333
"27","Obs29","Ciências Humanas",3
"28","Obs30","Ciências Sociais Aplicadas",1.83333333333333
"29","Obs31","Ciências Sociais Aplicadas",2.16666666666667
"30","Obs32","Ciências Sociais Aplicadas",2.16666666666667
"31","Obs33","Ciências Humanas",2
"32","Obs34","Linguística/Letras e Artes",2.83333333333333
"33","Obs35","Engenharias",1
"34","Obs36","Engenharias",3
"35","Obs37","Engenharias",3.5
"36","Obs38","Ciências Humanas",2.66666666666667
"37","Obs39","Ciências Sociais Aplicadas",2.5
"38","Obs40","Ciências da Saúde",2.5
"39","Obs41","Ciências Humanas",2.16666666666667
"40","Obs42","Ciências Humanas",2.33333333333333
"41","Obs43","Ciências Exatas e da Terra",3.66666666666667
"42","Obs44","Ciências Agrárias",1.66666666666667
"43","Obs45","Ciências Exatas e da Terra",2.5
"44","Obs46","Ciências Humanas",2.5
"45","Obs47","Ciências Agrárias",1.5
"46","Obs48","Ciências Humanas",3.33333333333333
"47","Obs49","Ciências Exatas e da Terra",1.33333333333333
"48","Obs50","Engenharias",1.5
"49","Obs51","Ciências Sociais Aplicadas",2
"50","Obs52","Ciências Exatas e da Terra",1.66666666666667
"51","Obs53","Ciências da Saúde",1.83333333333333
"52","Obs55","Ciências Sociais Aplicadas",2.5
"53","Obs56","Engenharias",2.16666666666667
"54","Obs57","Ciências Humanas",2.33333333333333
"55","Obs58","Ciências Sociais Aplicadas",3.66666666666667
"56","Obs59","Ciências Sociais Aplicadas",2.5
"57","Obs60","Ciências da Saúde",2.5
"58","Obs61","Ciências Humanas",3
"59","Obs62","Ciências Sociais Aplicadas",3.16666666666667
"60","Obs63","Ciências Humanas",1.66666666666667
"61","Obs64","Engenharias",1.66666666666667
"62","Obs65","Ciências Sociais Aplicadas",2.33333333333333
"63","Obs66","Ciências Sociais Aplicadas",3.5
"64","Obs67","Ciências Exatas e da Terra",3
"65","Obs68","Linguística/Letras e Artes",2.83333333333333
"66","Obs69","Engenharias",3
"67","Obs70","Ciências Exatas e da Terra",3.83333333333333
"68","Obs71","Ciências Exatas e da Terra",1.83333333333333
"69","Obs72","Ciências Exatas e da Terra",2.83333333333333
"70","Obs73","Linguística/Letras e Artes",2.16666666666667
"71","Obs74","Engenharias",3
"72","Obs75","Ciências Exatas e da Terra",3.5
"73","Obs76","Ciências Humanas",2.66666666666667
"74","Obs77","Linguística/Letras e Artes",2.33333333333333
"75","Obs78","Ciências da Saúde",2.16666666666667
"76","Obs79","Ciências Sociais Aplicadas",2.33333333333333
"77","Obs80","Ciências Humanas",2.33333333333333
"78","Obs81","Ciências Agrárias",2.16666666666667
"79","Obs82","Ciências Exatas e da Terra",2.5
"80","Obs83","Ciências Exatas e da Terra",1.66666666666667
"81","Obs84","Ciências Exatas e da Terra",3.66666666666667
"82","Obs85","Ciências Humanas",2.83333333333333
"83","Obs86","Ciências Sociais Aplicadas",2
"84","Obs87","Ciências Sociais Aplicadas",1.33333333333333
"85","Obs88","Ciências Humanas",2.5
"86","Obs89","Ciências Biológicas",1.66666666666667
"87","Obs90","Ciências da Saúde",2.83333333333333
"88","Obs91","Linguística/Letras e Artes",2
"89","Obs92","Ciências Agrárias",2
"90","Obs93","Ciências da Saúde",2.5
"91","Obs94","Ciências Humanas",3.16666666666667
"92","Obs95","Ciências da Saúde",2.66666666666667
"93","Obs97","Ciências da Saúde",2.16666666666667
"94","Obs98","Ciências Humanas",4.16666666666667
"95","Obs99","Ciências Biológicas",1.66666666666667
"96","Obs100","Ciências Agrárias",2.16666666666667
"97","Obs101","Ciências da Saúde",2.5
"98","Obs102","Ciências da Saúde",2
"99","Obs103","Ciências Agrárias",2.5
"100","Obs104","Ciências Exatas e da Terra",1.33333333333333
"101","Obs105","Ciências da Saúde",2
"102","Obs106","Linguística/Letras e Artes",4
"103","Obs107","Ciências Humanas",2.66666666666667
"104","Obs108","Ciências Exatas e da Terra",2.83333333333333
"105","Obs109","Engenharias",2.83333333333333
"106","Obs110","Ciências Sociais Aplicadas",2.16666666666667
"107","Obs111","Ciências Agrárias",2.33333333333333
"108","Obs112","Ciências Sociais Aplicadas",2.5
"109","Obs113","Ciências Sociais Aplicadas",1.83333333333333
"110","Obs114","Ciências Biológicas",2.33333333333333
"111","Obs115","Ciências da Saúde",3
"112","Obs116","Ciências Agrárias",2
"113","Obs117","Ciências da Saúde",3.33333333333333
"114","Obs118","Ciências Biológicas",3
"115","Obs119","Ciências Humanas",2.16666666666667
"116","Obs120","Ciências Sociais Aplicadas",2.83333333333333
"117","Obs121","Ciências Exatas e da Terra",2
"118","Obs122","Ciências Biológicas",3.66666666666667
"119","Obs123","Ciências Humanas",2.66666666666667
"120","Obs124","Ciências da Saúde",1.16666666666667
"121","Obs125","Ciências da Saúde",2.83333333333333
"122","Obs126","Ciências Humanas",3.16666666666667
"123","Obs127","Ciências Exatas e da Terra",3.66666666666667
"124","Obs128","Ciências Sociais Aplicadas",1.5
