"","ID","unidade","pedagogica"
"1","Obs1","UFAL A.C. Simões",2.5
"2","Obs2","UFAL A.C. Simões",2.25
"3","Obs3","UFAL A.C. Simões",1.25
"4","Obs4","UFAL A.C. Simões",4.25
"5","Obs5","UFAL Arapiraca",2
"6","Obs6","UFAL Arapiraca",1.75
"7","Obs7","UFAL A.C. Simões",2.25
"8","Obs8","UFAL A.C. Simões",4.5
"9","Obs9","UFAL A.C. Simões",2.25
"10","Obs10","UFAL A.C. Simões",1.25
"11","Obs11","UFAL A.C. Simões",3.75
"12","Obs12","UFAL A.C. Simões",3.5
"13","Obs13","UFAL A.C. Simões",2.75
"14","Obs14","UFAL A.C. Simões",1.75
"15","Obs15","UFAL A.C. Simões",4.25
"16","Obs16","UFAL A.C. Simões",4
"17","Obs17","UFAL A.C. Simões",3.75
"18","Obs18","UFAL Arapiraca",1
"19","Obs19","UFAL A.C. Simões",1.75
"20","Obs20","UFAL A.C. Simões",3.25
"21","Obs21","UFAL A.C. Simões",2.25
"22","Obs22","UFAL A.C. Simões",2
"23","Obs23","UFAL A.C. Simões",1.25
"24","Obs24","UFAL Arapiraca",2.5
"25","Obs25","UFAL A.C. Simões",2
"26","Obs26","UFAL A.C. Simões",3.75
"27","Obs27","UFAL A.C. Simões",1
"28","Obs28","UFAL A.C. Simões",2.75
"29","Obs29","UFAL A.C. Simões",1.5
"30","Obs30","UFAL A.C. Simões",1.5
"31","Obs31","UFAL A.C. Simões",1.75
"32","Obs32","UFAL A.C. Simões",1.75
"33","Obs33","UFAL A.C. Simões",3.5
"34","Obs34","UFAL A.C. Simões",2.75
"35","Obs35","UFAL A.C. Simões",2.25
"36","Obs36","UFAL A.C. Simões",3.5
"37","Obs37","UFAL A.C. Simões",3.5
"38","Obs38","UFAL A.C. Simões",3
"39","Obs39","UFAL A.C. Simões",4
"40","Obs40","UFAL A.C. Simões",1.25
"41","Obs41","UFAL A.C. Simões",2.5
"42","Obs42","UFAL A.C. Simões",1.5
"43","Obs43","UFAL Arapiraca",3.5
"44","Obs44","UFAL Arapiraca",1
"45","Obs45","UFAL A.C. Simões",3.5
"46","Obs46","UFAL A.C. Simões",1.75
"47","Obs47","UFAL CECA",1.75
"48","Obs48","UFAL Arapiraca",3.75
"49","Obs49","UFAL A.C. Simões",1.75
"50","Obs50","UFAL A.C. Simões",1
"51","Obs51","UFAL A.C. Simões",1.25
"52","Obs52","UFAL A.C. Simões",1
"53","Obs53","UFAL Arapiraca",1
"54","Obs54","UFAL A.C. Simões",4
"55","Obs55","UFAL Arapiraca",1.5
"56","Obs56","UFAL A.C. Simões",2.75
"57","Obs57","UFAL A.C. Simões",2.5
"58","Obs59","UFAL A.C. Simões",1.25
"59","Obs60","UFAL A.C. Simões",3.75
"60","Obs61","UFAL A.C. Simões",2.25
"61","Obs62","UFAL A.C. Simões",4.5
"62","Obs63","UFAL Arapiraca",1.25
"63","Obs64","UFAL A.C. Simões",1.75
"64","Obs65","UFAL A.C. Simões",3
"65","Obs66","UFAL A.C. Simões",4
"66","Obs67","UFAL Arapiraca",3.75
"67","Obs68","UFAL A.C. Simões",3.25
"68","Obs69","UFAL CECA",1.75
"69","Obs70","UFAL A.C. Simões",2.75
"70","Obs71","UFAL A.C. Simões",3.25
"71","Obs72","UFAL A.C. Simões",1.75
"72","Obs73","UFAL A.C. Simões",1.75
"73","Obs74","UFAL A.C. Simões",4.25
"74","Obs75","UFAL A.C. Simões",1.75
"75","Obs76","UFAL A.C. Simões",2.75
"76","Obs77","UFAL A.C. Simões",2.5
"77","Obs78","UFAL A.C. Simões",2
"78","Obs79","UFAL Arapiraca",1.5
"79","Obs80","UFAL A.C. Simões",2
"80","Obs81","UFAL Arapiraca",2
"81","Obs82","UFAL A.C. Simões",3.5
