ID,etapa.de.ensino,area.de.conhecimento,formacao.continuada,unidade,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23
5e8394028f0a296ce7a9948d,Ensino Superior,Ciências Humanas,Formação continuada - Concluída;Doutorado - Concluído,UFAL A.C. Simões,5,5,5,4,4,4,4,5,5,4,5,5,4,3,5,5,4,4,5,3,5,5,5
5e85b1ca8f0a292bf1adf300,Ensino Superior,Ciências Humanas,Doutorado - Concluído;Pós-doutorado - Concluído,UFAL A.C. Simões,4,4,2,2,3,2,2,2,2,2,3,3,3,3,2,3,2,3,3,2,2,2,3
5e85d5488f0a292beda2e4ea,Ensino Superior,Ciências Sociais Aplicadas,NA,UFAL A.C. Simões,4,5,3,1,3,2,3,3,4,4,4,4,3,4,2,5,4,3,4,4,3,3,4
5e85e4d08f0a292bf1adf359,Ensino Superior,Ciências Sociais Aplicadas,Pós-doutorado - Em andamento,UFAL A.C. Simões,3,5,5,4,4,4,3,5,4,4,4,3,4,1,1,4,4,4,5,2,4,4,4
5e8625bda861ff4068363466,NA,NA,NA,UFAL A.C. Simões,5,5,5,4,4,5,4,3,3,3,3,5,3,4,2,4,4,5,3,3,4,4,3
5e8625bca861ff4068363458,NA,NA,NA,UFAL A.C. Simões,4,3,4,1,3,1,1,3,4,3,3,4,4,4,2,5,2,1,3,2,1,2,4
5e862977a861ff4068363494,Ensino Superior,Engenharias,NA,UFAL A.C. Simões,3,3,3,2,2,2,3,2,3,3,2,2,2,2,3,3,3,2,2,2,2,2,3
5e863555a861ff406c58ede6,Ensino Superior,Ciências Sociais Aplicadas,NA,UFAL A.C. Simões,2,2,2,1,1,1,1,2,2,2,3,3,1,2,1,3,2,1,1,2,1,1,1
5e863a5ca861ff40683634ff,Ensino Superior,Ciências Sociais Aplicadas,Formação continuada - Concluída,UFAL A.C. Simões,3,4,5,4,4,2,2,3,3,3,3,3,2,4,2,4,4,1,3,3,2,2,4
5e863f44a861ff406c58ee6c,Ensino Superior,Ciências Sociais Aplicadas,NA,UFAL A.C. Simões,4,3,5,4,4,1,1,3,4,3,3,2,2,3,1,4,4,1,3,2,2,2,4
5e863fdca861ff406c58ee76,Ensino Superior,Ciências Sociais Aplicadas,Mestrado - Concluído,UFAL A.C. Simões,3,4,3,3,3,2,4,2,3,4,5,4,4,3,2,4,4,4,4,4,4,3,4
5e864e0ba861ff406c58ee96,Ensino Superior,Ciências Sociais Aplicadas,Formação continuada - Concluída,UFAL A.C. Simões,3,4,4,1,1,1,1,2,2,4,5,4,4,3,4,3,3,1,4,2,1,3,3
5e865fb1a861ff406836358c,Ensino Superior,Ciências Sociais Aplicadas,Formação continuada - Concluída,UFAL A.C. Simões,4,4,5,4,4,4,4,3,4,3,3,3,1,2,2,4,2,1,4,3,4,4,4
5e866e64a861ff406c58ef03,Ensino Superior,Ciências Sociais Aplicadas,Formação continuada - Concluída,UFAL A.C. Simões,4,5,5,4,4,3,4,4,4,5,3,3,2,3,2,5,4,3,4,3,2,2,4
5e867729a861ff406c58ef2a,Ensino Superior,Ciências Humanas,Formação continuada - Concluída,UFAL A.C. Simões,4,4,4,4,4,3,4,3,4,4,5,4,4,4,4,4,4,5,5,5,3,4,4
5e8635c9a861ff406c58edee,Ensino Superior,Ciências Exatas e da Terra;Ciências Humanas;Ciências da Saúde,Doutorado - Concluído;Mestrado - Concluído,UFAL A.C. Simões,5,4,3,1,3,2,2,2,3,2,2,4,3,4,2,5,2,1,3,3,1,2,4
5e85daf88f0a292beda2e51b,Ensino Superior,Ciências Humanas,Formação continuada - Concluída,UFAL A.C. Simões,2,2,2,1,1,1,2,2,2,2,2,3,2,2,2,2,2,1,2,2,2,4,4
5e87298fa861ff3f7eb2562e,Ensino Superior,Ciências Exatas e da Terra;Engenharias,NA,UFAL A.C. Simões,3,2,3,3,1,2,3,2,3,3,2,3,1,4,1,4,1,1,4,5,3,1,2
5e873049a861ff3f7a8ff2fb,Ensino Superior,Ciências Exatas e da Terra,NA,UFAL A.C. Simões,2,2,2,2,1,2,1,2,3,2,2,5,1,3,1,2,2,3,1,2,3,4,1
5e873c89a861ff3f7a8ff316,Ensino Superior,Ciências Humanas,Formação continuada - Concluída,UFAL A.C. Simões,3,2,2,5,3,3,3,2,2,3,3,4,3,5,5,5,5,4,4,5,3,4,4
5e873eeda861ff3f7eb2565f,Ensino Superior;Educação para Jovens e Adultos,Ciências Humanas,NA,UFAL A.C. Simões,2,2,1,1,1,1,1,2,1,2,2,2,1,2,2,3,3,1,3,2,2,2,3
5e873ff7a861ff3f7a8ff32f,Ensino Superior,Ciências Exatas e da Terra,Formação continuada - Concluída,UFAL A.C. Simões,4,3,3,3,2,1,1,2,4,4,2,3,2,3,2,5,3,1,3,2,1,2,2
5e874035a861ff3f7a8ff330,Ensino Superior,Ciências Exatas e da Terra,NA,UFAL A.C. Simões,3,2,2,2,3,1,1,1,1,2,2,1,1,3,1,3,1,1,3,2,3,1,3
5e874106a861ff3f7a8ff332,Ensino Superior,Ciências Exatas e da Terra,Graduação - Concluída,UFAL A.C. Simões,2,3,2,1,1,1,1,3,4,3,3,3,2,3,2,4,2,1,4,2,1,2,1
5e874564a861ff3f7eb2568a,Ensino Superior,Ciências Humanas,Especialização - Concluída,UFAL A.C. Simões,2,4,3,1,3,1,3,3,5,2,3,2,1,2,1,1,1,1,3,3,1,4,2
5e874983a861ff3f7eb256bb,Ensino Superior,Ciências Sociais Aplicadas,NA,UFAL A.C. Simões,4,4,5,4,3,3,3,2,2,3,3,5,2,4,3,5,2,4,3,3,1,2,3
5e874abca861ff3f7eb256c1,Ensino Superior,Ciências Sociais Aplicadas,NA,UFAL A.C. Simões,1,1,1,1,1,1,2,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2
5e874c73a861ff3f7a8ff3a8,Ensino Superior,Linguística/Letras e Artes,NA,UFAL A.C. Simões,5,5,4,2,3,2,3,5,4,4,5,5,4,5,5,5,5,5,5,4,3,5,4
5e874e1fa861ff3f7eb256ec,Ensino Superior,Ciências Humanas,Formação continuada - Concluída,UFAL A.C. Simões,3,2,2,1,1,2,2,3,4,2,3,3,3,3,3,4,3,3,3,1,1,1,4
5e875675a861ff3f7eb25712,Ensino Superior,Ciências Sociais Aplicadas,Doutorado - Em andamento,UFAL A.C. Simões,4,4,3,2,1,1,2,3,4,3,3,2,2,3,1,5,4,1,3,4,2,2,3
5e875a57a861ff3f7a8ff403,Ensino Superior,Ciências Sociais Aplicadas,NA,UFAL A.C. Simões,1,2,2,2,1,2,2,2,2,2,2,4,2,2,2,4,2,1,1,2,2,2,2
5e876039a861ff3f7eb25731,Ensino Superior,Engenharias;Ciências Exatas e da Terra,Doutorado - Concluído,UFAL A.C. Simões,5,5,4,2,3,1,1,2,4,2,5,4,2,3,2,4,1,5,4,4,4,5,2
5e87673fa861ff3f7eb25746,Ensino Superior,Ciências Humanas,NA,UFAL A.C. Simões,4,4,4,4,3,3,3,3,4,4,3,4,2,2,1,3,1,2,3,3,3,3,4
5e87708fa861ff3f7eb25777,Ensino Superior,Linguística/Letras e Artes,NA,UFAL A.C. Simões,2,2,2,4,3,2,3,2,2,2,2,5,2,3,2,3,3,2,2,2,2,2,3
5e877437a861ff3f7a8ff45d,Ensino Superior,Engenharias,Formação continuada - Concluída,UFAL A.C. Simões,2,3,2,4,1,2,3,3,3,4,3,1,1,1,1,4,1,1,3,5,2,2,3
5e87819ca861ff3f7a8ff465,Ensino Superior,Engenharias,Graduação - Concluída,UFAL A.C. Simões,5,4,4,4,2,4,3,3,4,4,3,4,2,4,2,5,2,4,3,2,3,4,4
5e877f0ea861ff3f7eb25787,Ensino Superior,Engenharias,Mestrado - Concluído,UFAL A.C. Simões,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5e878263a861ff3f7eb2579a,Ensino Superior,Engenharias,Formação continuada - Concluída,UFAL A.C. Simões,4,4,5,3,3,3,3,3,3,2,3,5,4,3,1,5,3,5,5,4,2,2,3
5e87839ca861ff3f7eb257a1,Ensino Superior,Ciências Humanas,NA,UFAL A.C. Simões,4,3,4,4,2,2,2,2,4,3,2,3,2,3,2,5,4,2,5,3,3,3,3
5e87865da861ff3f7a8ff485,Ensino Superior,Ciências Sociais Aplicadas,NA,UFAL A.C. Simões,4,4,3,5,3,5,4,3,4,5,3,2,2,3,2,5,2,4,4,4,5,4,3
5e8786d6a861ff3f7eb257b4,Ensino Superior,Ciências Biológicas;Ciências Exatas e da Terra,NA,UFAL A.C. Simões,4,4,4,3,2,1,1,3,4,3,3,3,2,4,1,5,3,1,5,3,3,4,4
5e87889da861ff3f7eb257c3,Ensino Superior,Engenharias;Ciências Exatas e da Terra,Graduação - Concluída;Mestrado - Concluído;Doutorado - Em andamento,UFAL A.C. Simões,4,2,1,1,1,2,3,2,2,2,2,4,1,3,1,4,1,4,3,2,3,2,3
5e8792eaa861ff3f7eb257f5,Ensino Superior,Ciências da Saúde,Formação continuada - Concluída,UFAL A.C. Simões,3,2,2,1,1,1,2,3,4,3,3,5,2,3,2,4,2,1,4,3,3,2,4
5e87c83ba861ff3f7eb25870,Ensino Superior,Ciências Humanas,NA,UFAL A.C. Simões,3,3,4,1,2,3,2,3,3,3,3,3,3,2,1,3,3,1,3,3,3,2,2
5e87d37ba861ff3f7eb25881,Ensino Superior,Ciências Humanas,NA,UFAL A.C. Simões,2,2,2,2,1,1,2,2,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2
5e87ed36a861ff3f7a8ff560,Ensino Superior,Ciências Exatas e da Terra,Graduação - Concluída;Mestrado - Concluído;Doutorado - Concluído;Pós-doutorado - Concluído,UFAL A.C. Simões,4,4,5,4,4,3,5,2,4,2,5,3,2,3,2,5,2,1,4,3,2,3,3
5e881985a861ff3f7a8ff59c,Ensino Superior,Ciências Exatas e da Terra,NA,UFAL A.C. Simões,2,4,5,4,3,2,2,3,2,2,2,2,2,2,2,5,4,3,4,2,4,3,3
