ID,formacao.continuada,unidade,pedagogica,cidadania,desenvolvimento
5e85daf88f0a292beda2e51b,Formação continuada - Concluída,UFAL A.C. Simões,1.25,2,2.6666666666666665
5e85e4d08f0a292bf1adf359,Pós-doutorado - Em andamento,UFAL A.C. Simões,4.25,2.8333333333333335,4.333333333333333
5e8616bba861ff40683633e9,Formação continuada - Concluída,UFAL Arapiraca,1.75,2.1666666666666665,2
5e863a5ca861ff40683634ff,Formação continuada - Concluída,UFAL A.C. Simões,3.75,2.6666666666666665,3
5e863fdca861ff406c58ee76,Mestrado - Concluído,UFAL A.C. Simões,2.75,3.5,4
5e864e0ba861ff406c58ee96,Formação continuada - Concluída,UFAL A.C. Simões,1.75,3.1666666666666665,2.6666666666666665
5e865fb1a861ff406836358c,Formação continuada - Concluída,UFAL A.C. Simões,4.25,1.8333333333333333,4
5e866e64a861ff406c58ef03,Formação continuada - Concluída,UFAL A.C. Simões,4,2.8333333333333335,3.3333333333333335
5e867729a861ff406c58ef2a,Formação continuada - Concluída,UFAL A.C. Simões,3.75,4.166666666666667,4
5e873c89a861ff3f7a8ff316,Formação continuada - Concluída,UFAL A.C. Simões,3.25,4.333333333333333,3.6666666666666665
5e873ff7a861ff3f7a8ff32f,Formação continuada - Concluída,UFAL A.C. Simões,2.25,2.3333333333333335,2
5e874106a861ff3f7a8ff332,Graduação - Concluída,UFAL A.C. Simões,1.25,2.1666666666666665,2
5e8743c4a861ff3f7eb2567d,Formação continuada - Em andamento,UFAL Arapiraca,2.5,1.6666666666666667,2.6666666666666665
5e874564a861ff3f7eb2568a,Especialização - Concluída,UFAL A.C. Simões,2,1.3333333333333333,2
5e874e1fa861ff3f7eb256ec,Formação continuada - Concluída,UFAL A.C. Simões,1.5,3,2.6666666666666665
5e875675a861ff3f7eb25712,Doutorado - Em andamento,UFAL A.C. Simões,1.75,2.1666666666666665,2.6666666666666665
5e877437a861ff3f7a8ff45d,Formação continuada - Concluída,UFAL A.C. Simões,2.25,1,2.6666666666666665
5e87819ca861ff3f7a8ff465,Graduação - Concluída,UFAL A.C. Simões,3.5,3,3.3333333333333335
5e878263a861ff3f7eb2579a,Formação continuada - Concluída,UFAL A.C. Simões,3.5,3.5,3.3333333333333335
5e8792eaa861ff3f7eb257f5,Formação continuada - Concluída,UFAL A.C. Simões,1.25,2.5,3.6666666666666665
5e87f19ca861ff3f7a8ff570,Doutorado - Concluído,UFAL Arapiraca,3.5,3.6666666666666665,4
5e883c11a861ff6760681bf9,Formação continuada - Em andamento,UFAL Arapiraca,3.75,3.3333333333333335,3.3333333333333335
5e886ff3a861ff675c201ba3,Especialização - Concluída,UFAL A.C. Simões,4,4,3.6666666666666665
5e887338a861ff6760681c61,Doutorado - Concluído,UFAL Arapiraca,1.5,2.5,2.6666666666666665
5e88a65fa861ff675c201c49,Mestrado - Concluído,UFAL Sertão,3.25,3.6666666666666665,2.6666666666666665
5e88aad9a861ff675c201c73,Doutorado - Concluído,UFAL A.C. Simões,1.25,2.5,1.3333333333333333
5e88b62fa861ff6760681cfb,Graduação - Em andamento,UFAL A.C. Simões,3.75,2.5,3
5e88be8ea861ff675c201ca7,Doutorado - Concluído,UFAL A.C. Simões,4.5,3.1666666666666665,3.3333333333333335
5e88ce93a861ff675c201d03,Doutorado - Concluído,UFAL A.C. Simões,3,2.3333333333333335,2.3333333333333335
5e88d2eca861ff675c201d0e,Formação continuada - Concluída,UFAL A.C. Simões,4,3.5,4.333333333333333
5e88d3d8a861ff675c201d14,Doutorado - Concluído,UFAL Arapiraca,3.75,3,3.3333333333333335
5e891eeba861ff6760681eac,Formação continuada - Em andamento,UFAL A.C. Simões,4.25,3,2
5e89401ca861ff6760681ee5,Formação continuada - Concluída,UFAL A.C. Simões,2.75,2.6666666666666665,3
5e895892a861ff675c201e4e,Formação continuada - Em andamento,UFAL A.C. Simões,2,2.3333333333333335,2.3333333333333335
5e8a207da861ff7eba14d50d,Formação continuada - Concluída,UFAL Arapiraca,2.25,2,3.6666666666666665
5e8a2944a861ff7eb664f720,Doutorado - Concluído,UFAL A.C. Simões,1.25,1.3333333333333333,2
5e8a29b5a861ff7eba14d51f,Pós-doutorado - Concluído,UFAL A.C. Simões,4.25,2.5,3
5e8a3b38a861ff7eb664f78a,Especialização - Concluída,UFAL A.C. Simões,4,4.166666666666667,3.6666666666666665
5e8a6f76a861ff7eba14d651,Formação continuada - Concluída,UFAL A.C. Simões,1.25,2,2.6666666666666665
5e8a7085a861ff7eba14d656,Formação continuada - Concluída,UFAL A.C. Simões,3.75,4,3.6666666666666665
5e8a7c5aa861ff7eb664f828,Pós-doutorado - Concluído,UFAL A.C. Simões,1.25,2.8333333333333335,3.3333333333333335
5e8b0f58a861ff132c369fac,Formação continuada - Concluída,UFAL CECA,1.5,2.3333333333333335,2.3333333333333335
5e8b1a05a861ff132c369fed,Formação continuada - Concluída,UFAL A.C. Simões,1.75,1.8333333333333333,2
5e8b2dbda861ff132c36a2fe,Doutorado - Concluído,UFAL A.C. Simões,3,2.8333333333333335,2.6666666666666665
5e8b3157a861ff132c36a8d1,Pós-doutorado - Concluído,UFAL A.C. Simões,1.25,2,2
5e8b3182a861ff132c36a91f,Pós-doutorado - Concluído,UFAL A.C. Simões,1.25,3.6666666666666665,2.6666666666666665
5e8b36b3a861ff6839af063c,Doutorado - Concluído,UFAL A.C. Simões,2.5,2.8333333333333335,3.6666666666666665
5e8b39a5a861ff6839af07f6,Formação continuada - Concluída,UFAL A.C. Simões,3.5,3.6666666666666665,4
5e8b39d9a861ff6835a5c1a7,Doutorado - Concluído,UFAL Sertão,4,2.5,3
5e8b3c35a861ff6835a5c2d4,Mestrado - Concluído,UFAL A.C. Simões,2,2.5,3.6666666666666665
5e8b4adca861ff6839af0b99,Formação continuada - Concluída,UFAL A.C. Simões,2.5,3.1666666666666665,3.3333333333333335
5e8b72b4a861ff6839af0f85,Formação continuada - Concluída,UFAL A.C. Simões,1.5,3,2.3333333333333335
5e8b7816a861ff6839af1056,Formação continuada - Concluída,UFAL A.C. Simões,1.25,1.1666666666666667,2.3333333333333335
5e8b79dfa861ff6835a5ca45,Formação continuada - Concluída,UFAL Arapiraca,1.25,1.6666666666666667,2.3333333333333335
5e8b83c3a861ff6835a5cb0c,Pós-doutorado - Concluído,UFAL A.C. Simões,2.75,3.1666666666666665,3.3333333333333335
5e8b87a1a861ff6835a5cb5c,Formação continuada - Concluída,UFAL A.C. Simões,2,2.5,4.333333333333333
5e8bbac9a861ff6839af136a,Formação continuada - Concluída,UFAL Arapiraca,1.75,1.6666666666666667,2
5e8bbdd9a861ff6839af137f,Doutorado - Concluído,UFAL Arapiraca,2,3.6666666666666665,3.6666666666666665
5e8bc5ada861ff6839af1399,Doutorado - Concluído,UFAL A.C. Simões,3,2.6666666666666665,2.3333333333333335
5e8bc6a5a861ff6835a5cdad,Doutorado - Concluído,UFAL A.C. Simões,2.25,3.1666666666666665,3
5e8bd9cba861ff6835a5ce2c,Formação continuada - Concluída,UFAL A.C. Simões,3.75,2.8333333333333335,2
5e8c58caa861ff6ff383c55d,Doutorado - Concluído,UFAL A.C. Simões,2,3.1666666666666665,4.333333333333333
5e8c60daa861ff6fefca95f2,Doutorado - Concluído,UFAL A.C. Simões,1,2.6666666666666665,3
