"","ID","formacao.continuada","cidadania"
"1","Obs3","Formação continuada - Concluída",2
"2","Obs6","Formação continuada - Concluída",2.16666666666667
"3","Obs11","Formação continuada - Concluída",2.66666666666667
"4","Obs14","Formação continuada - Concluída",3.16666666666667
"5","Obs15","Formação continuada - Concluída",1.83333333333333
"6","Obs16","Formação continuada - Concluída",2.83333333333333
"7","Obs17","Formação continuada - Concluída",4.16666666666667
"8","Obs20","Formação continuada - Concluída",4.33333333333333
"9","Obs21","Formação continuada - Concluída",2.33333333333333
"10","Obs24","Formação continuada - Em andamento",1.66666666666667
"11","Obs29","Formação continuada - Concluída",3
"12","Obs35","Formação continuada - Concluída",1
"13","Obs37","Formação continuada - Concluída",3.5
"14","Obs40","Formação continuada - Concluída",2.5
"15","Obs43","Doutorado - Concluído",3.66666666666667
"16","Obs48","Formação continuada - Em andamento",3.33333333333333
"17","Obs55","Doutorado - Concluído",2.5
"18","Obs59","Doutorado - Concluído",2.5
"19","Obs62","Doutorado - Concluído",3.16666666666667
"20","Obs65","Doutorado - Concluído",2.33333333333333
"21","Obs66","Formação continuada - Concluída",3.5
"22","Obs67","Doutorado - Concluído",3
"23","Obs74","Formação continuada - Em andamento",3
"24","Obs76","Formação continuada - Concluída",2.66666666666667
"25","Obs80","Formação continuada - Em andamento",2.33333333333333
"26","Obs86","Formação continuada - Concluída",2
"27","Obs87","Doutorado - Concluído",1.33333333333333
"28","Obs105","Formação continuada - Concluída",2
"29","Obs106","Formação continuada - Concluída",4
"30","Obs111","Formação continuada - Concluída",2.33333333333333
"31","Obs113","Formação continuada - Concluída",1.83333333333333
"32","Obs120","Doutorado - Concluído",2.83333333333333
"33","Obs125","Doutorado - Concluído",2.83333333333333
"34","Obs129","Formação continuada - Concluída",3.66666666666667
"35","Obs130","Doutorado - Concluído",2.5
"36","Obs136","Formação continuada - Concluída",3.16666666666667
"37","Obs149","Formação continuada - Concluída",3
"38","Obs152","Formação continuada - Concluída",1.16666666666667
"39","Obs154","Formação continuada - Concluída",1.66666666666667
"40","Obs158","Formação continuada - Concluída",2.5
"41","Obs164","Formação continuada - Concluída",1.66666666666667
"42","Obs165","Doutorado - Concluído",3.66666666666667
"43","Obs167","Doutorado - Concluído",2.66666666666667
"44","Obs169","Doutorado - Concluído",3.16666666666667
"45","Obs171","Formação continuada - Concluída",2.83333333333333
"46","Obs173","Doutorado - Concluído",3.16666666666667
"47","Obs174","Doutorado - Concluído",2.66666666666667
"48","Obs176","Formação continuada - Em andamento",1.66666666666667
"49","Obs181","Doutorado - Concluído",2.33333333333333
"50","Obs186","Formação continuada - Concluída",2.5
"51","Obs192","Formação continuada - Concluída",1.66666666666667
"52","Obs194","Formação continuada - Concluída",2.83333333333333
"53","Obs196","Formação continuada - Concluída",1.83333333333333
"54","Obs199","Formação continuada - Concluída",2.16666666666667
"55","Obs200","Doutorado - Concluído",2.66666666666667
"56","Obs203","Formação continuada - Concluída",3.33333333333333
"57","Obs205","Formação continuada - Concluída",3.66666666666667
"58","Obs208","Doutorado - Concluído",3.33333333333333
"59","Obs211","Doutorado - Concluído",2.66666666666667
"60","Obs217","Formação continuada - Concluída",3.83333333333333
"61","Obs219","Doutorado - Concluído",3
"62","Obs220","Formação continuada - Em andamento",1.66666666666667
"63","Obs222","Formação continuada - Concluída",3.83333333333333
"64","Obs223","Formação continuada - Concluída",2.33333333333333
"65","Obs224","Formação continuada - Concluída",2
"66","Obs228","Formação continuada - Concluída",2.5
"67","Obs230","Doutorado - Concluído",3.5
"68","Obs234","Doutorado - Concluído",3
"69","Obs237","Formação continuada - Em andamento",1.5
"70","Obs243","Formação continuada - Concluída",2.33333333333333
"71","Obs245","Formação continuada - Em andamento",2.16666666666667
"72","Obs247","Formação continuada - Em andamento",1.5
"73","Obs252","Formação continuada - Concluída",2.33333333333333
"74","Obs257","Doutorado - Concluído",2.66666666666667
"75","Obs261","Formação continuada - Concluída",3
"76","Obs262","Formação continuada - Concluída",3
"77","Obs265","Formação continuada - Em andamento",2
"78","Obs269","Formação continuada - Em andamento",2.16666666666667
"79","Obs273","Formação continuada - Em andamento",2.33333333333333
"80","Obs274","Formação continuada - Em andamento",3
"81","Obs275","Doutorado - Concluído",2.33333333333333
"82","Obs278","Doutorado - Concluído",2.66666666666667
"83","Obs279","Doutorado - Concluído",2.5
"84","Obs282","Doutorado - Concluído",4.5
"85","Obs286","Formação continuada - Concluída",2
"86","Obs287","Formação continuada - Concluída",3.5
"87","Obs293","Formação continuada - Em andamento",2.16666666666667
"88","Obs294","Formação continuada - Em andamento",2.5
"89","Obs298","Formação continuada - Em andamento",2.16666666666667
"90","Obs300","Formação continuada - Em andamento",1.66666666666667
"91","Obs315","Doutorado - Concluído",1.66666666666667
"92","Obs330","Formação continuada - Em andamento",3
