multi-mdl,alt-multi-mdl,2nd-order-mdl,alt-2nd-order-mdl,bi-factor-mdl,alt-bi-factor-mdl,orth-mdl,alt-orth-mdl
multi-mdl,alt-multi-mdl,2nd-order-mdl,alt-2nd-order-mdl,bi-factor-mdl,alt-bi-factor-mdl,orth-mdl,alt-orth-mdl
multi-mdl,alt-multi-mdl,2nd-order-mdl,alt-2nd-order-mdl,bi-factor-mdl,alt-bi-factor-mdl,orth-mdl,alt-orth-mdl
54,42,54,42,68,52,51,39
0.477,0.238,0.477,0.238,0.391,0.124,1.070,0.667
362.546,181.001,362.546,181.001,297.261, 94.337,813.081,506.720
116, 62,116, 62,102, 52,119, 65
0,0,0,0,0,0,0,0
326.862,160.345,326.862,160.345,275.320, 86.785,730.882,451.195
116, 62,116, 62,102, 52,119, 65
0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000
1.109,1.129,1.109,1.129,1.080,1.087,1.112,1.123
2755.863,1912.046,2755.863,1912.046,2755.863,1912.046,2755.863,1912.046
136, 78,136, 78,136, 78,136, 78
0,0,0,0,0,0,0,0
2424.527,1648.824,2424.527,1648.824,2424.527,1648.824,2424.527,1648.824
136, 78,136, 78,136, 78,136, 78
0,0,0,0,0,0,0,0
1.137,1.160,1.137,1.160,1.137,1.160,1.137,1.160
0.906,0.935,0.906,0.935,0.925,0.977,0.735,0.759
0.890,0.918,0.890,0.918,0.901,0.965,0.697,0.711
0.890,0.918,0.890,0.918,0.901,0.965,0.697,0.711
0.846,0.881,0.846,0.881,0.856,0.926,0.663,0.682
0.868,0.905,0.868,0.905,0.892,0.951,0.705,0.735
0.741,0.720,0.741,0.720,0.669,0.634,0.617,0.612
0.907,0.936,0.907,0.936,0.926,0.977,0.737,0.761
0.906,0.935,0.906,0.935,0.925,0.977,0.735,0.759
0.908,0.937,0.908,0.937,0.924,0.978,0.733,0.754
0.892,0.921,0.892,0.921,0.899,0.967,0.694,0.705
0.910,0.939,0.910,0.939,0.928,0.979,0.738,0.762
0.895,0.923,0.895,0.923,0.904,0.969,0.701,0.714
0.892,0.921,0.892,0.921,0.899,0.967,0.694,0.705
0.895,0.923,0.895,0.923,0.904,0.969,0.701,0.714
0.842,0.878,0.842,0.878,0.849,0.921,0.655,0.672
0.865,0.903,0.865,0.903,0.886,0.947,0.699,0.726
0.909,0.938,0.909,0.938,0.925,0.978,0.735,0.756
0.908,0.937,0.908,0.937,0.924,0.978,0.733,0.754
0.910,0.939,0.910,0.939,0.928,0.979,0.738,0.762
-8266.895,-6484.961,-8266.895,-6484.961,-8234.252,-6441.628,-8492.162,-6647.820
-8085.622,-6394.460,-8085.622,-6394.460,-8085.622,-6394.460,-8085.622,-6394.460
16641.79,13053.92,16641.79,13053.92,16604.50,12987.26,17086.32,13373.64
16854.56,13219.41,16854.56,13219.41,16872.44,13192.15,17287.27,13527.31
380,380,380,380,380,380,380,380
16683.23,13086.15,16683.23,13086.15,16656.69,13027.16,17125.46,13403.57
1.099,1.108,1.099,1.108,1.099,1.108,1.099,1.108
1.076,1.077,1.076,1.077,1.127,1.129,1.067,1.083
0.075,0.071,0.075,0.071,0.071,0.046,0.124,0.134
0.066,0.059,0.066,0.059,0.062,0.031,0.116,0.123
0.084,0.083,0.084,0.083,0.080,0.061,0.132,0.145
0.000,0.002,0.000,0.002,0.000,0.642,0.000,0.000
0.069,0.065,0.069,0.065,0.067,0.042,0.116,0.125
0.061,0.053,0.061,0.053,0.058,0.026,0.109,0.115
0.078,0.076,0.078,0.076,0.076,0.057,0.124,0.135
0.000,0.019,0.000,0.019,0.001,0.807,0.000,0.000
0.073,0.069,0.073,0.069,0.069,0.044,0.123,0.133
0.064,0.056,0.064,0.056,0.060,0.027,0.114,0.121
0.082,0.082,0.082,0.082,0.079,0.060,0.131,0.144
NA,NA,NA,NA,NA,NA,NA,NA
0.056,0.053,0.056,0.053,0.051,0.042,0.302,0.293
0.059,0.057,0.059,0.057,0.053,0.045,0.318,0.313
0.051,0.047,0.051,0.047,0.047,0.034,0.263,0.245
0.051,0.047,0.051,0.047,0.047,0.034,0.263,0.245
0.054,0.051,0.054,0.051,0.049,0.037,0.277,0.262
0.054,0.051,0.054,0.051,0.049,0.037,0.277,0.262
0.057,0.055,0.057,0.055,0.052,0.040,0.294,0.283
0.051,0.047,0.051,0.047,0.047,0.034,0.263,0.245
0.054,0.051,0.054,0.051,0.049,0.037,0.277,0.262
149.981,171.854,149.981,171.854,162.805,282.293, 68.982, 64.609
162.774,191.632,162.774,191.632,177.583,317.674, 74.749, 71.809
0.975,0.983,0.975,0.983,0.980,0.991,0.962,0.969
0.964,0.972,0.964,0.972,0.967,0.981,0.946,0.950
0.665,0.586,0.665,0.586,0.588,0.495,0.674,0.605
0.723,0.855,0.723,0.855,0.773,0.946,0.401,0.559
1.238,0.697,1.238,0.697,1.140,0.522,2.408,1.539
NA,NA,NA,NA,NA,NA,unacceptable fit,unacceptable fit
NA,NA,NA,NA,NA,NA,unacceptable fit,unacceptable fit
NA,NA,NA,NA,NA,NA,poor fit,poor fit
NA,NA,NA,NA,NA,close fit,NA,NA
